City,State,StateCode,CensusCode,Population,sameHouse1yr,transportCar,publicTransport
Anchorage,Alaska,AK,02305,245624,197589,94067,94067
Huntsville,Alabama,AL,40780,359389,301448,139891,139891
Birmingham,Alabama,AL,07786,778756,669858,285726,285726
Little Rock,Arkansas,AR,50392,467846,409973,165697,165697
Phoenix,Arizona,AZ,69184,4065338,3457480,1332557,1332557
Tucson,Arizona,AZ,88732,879871,728456,296548,296548
Sacramento,California,CA,77068,1962998,1730929,615172,615172
San Diego,California,CA,78661,3057778,2636413,1069572,1069572
San Francisco,California,CA,78904,3364862,2922256,869650,869650
San Jose,California,CA,79039,1771563,1499746,610466,610466
Los Angeles,California,CA,51445,11885717,10680530,3989403,3989403
Boulder,Colorado,CO,09298,120121,81865,30290,30290
Colorado Springs,Colorado,CO,18856,638421,507435,232525,232525
Denver,Colorado,CO,23527,2691349,2220545,978638,978638
Fort Collins,Colorado,CO,30628,339256,279237,119948,119948
New Haven,Connecticut,CT,62407,565056,482609,201057,201057
Hartford,Connecticut,CT,37243,969171,859217,354055,354055
Washington,District of Columbia,DC,92242,5146120,4377744,1495396,1495396
Dover,Delaware,DE,24580,128045,107616,48558,48558
Gainesville,Florida,FL,32167,219946,164227,78775,78775
Jacksonville,Florida,FL,42346,1303156,1083342,432949,432949
Miami,Florida,FL,56602,6113982,5261172,2100067,2100067
Orlando,Florida,FL,65863,1913597,1617321,666673,666673
Tallahassee,Florida,FL,86464,261271,203313,99318,99318
Tampa,Florida,FL,86599,2906035,2463459,944394,944394
West Palm Beach,Florida,FL,22612,429526,371916,126197,126197
Athens,Georgia,GA,03763,147368,111020,57523,57523
Atlanta,Georgia,GA,03817,5211164,4492313,1756729,1756729
Columbus,Georgia,GA,19099,257578,215299,79797,79797
Savannah,Georgia,GA,79768,316446,254025,113929,113929
Honolulu,Hawaii,HI,39889,836233,722550,256263,256263
Des Moines,Iowa,IA,23743,560170,469809,221316,221316
Boise,Idaho,ID,08785,449428,372413,159530,159530
Chicago,Illinois,IL,16264,8489066,7498122,2637739,2637739
Indianapolis,Indiana,IN,41212,1740984,1487031,662937,662937
South Bend,Indiana,IN,83116,275725,239642,97782,97782
Lawrence,Kansas,KS,48232,96380,69017,35303,35303
Wichita,Kansas,KS,95077,501760,422397,199456,199456
Louisville,Kentucky,KY,51755,965005,823601,341809,341809
Lafayette,Louisiana,LA,46045,231548,202302,88459,88459
New Orleans,Louisiana,LA,62677,918752,811945,306292,306292
Boston,Massachusetts,MA,09271,4355184,3786006,1347669,1347669
Baltimore,Maryland,MD,04843,2189589,1903204,749785,749785
Portland,Maine,ME,71263,213660,182612,79688,79688
Ann Arbor,Michigan,MI,02602,314647,240990,101623,101623
Grand Rapids,Michigan,MI,34300,611480,522535,240892,240892
Lansing,Michigan,MI,47719,318001,256178,109133,109133
Detroit,Michigan,MI,23824,3716929,3302368,1303437,1303437
Minneapolis,Minnesota,MN,57628,2906807,2507900,1033159,1033159
Rochester,Minnesota,MN,75637,123252,101919,40284,40284
Kansas City,Missouri,MO,43912,1686807,1462915,651062,651062
St. Louis,Missouri,MO,77770,2127843,1865503,814412,814412
Jackson,Mississippi,MS,42211,331332,287171,122538,122538
Bozeman,Montana,MT,09514,63917,46971,27511,27511
Charlotte,North Carolina,NC,15670,1436613,1218584,470341,470341
Durham,North Carolina,NC,25228,411362,323810,138465,138465
Fayetteville,North Carolina,NC,29440,326821,259573,114838,114838
Greensboro,North Carolina,NC,35164,345858,281130,125332,125332
Raleigh,North Carolina,NC,73261,1150010,972022,391403,391403
Fargo,North Dakota,ND,29089,225066,174272,99306,99306
Lincoln,Nebraska,NE,49933,293055,240059,117623,117623
Omaha,Nebraska,NE,65269,826161,703271,325816,325816
Manchester,New Hampshire ,NH,53740,162716,136113,66971,66971
Atlantic City,New Jersey ,NJ,03904,299290,263241,101572,101572
Albuquerque,New Mexico,NM,01171,767499,664666,274494,274494
Reno,Nevada,NV,74179,454814,385052,160888,160888
Las Vegas,Nevada,NV,47995,2256509,1893730,772143,772143
Buffalo,New York,NY,11350,949547,831781,332404,332404
New York City,New York,NY,63217,18832416,16972962,4111326,4111326
Cincinnati,Ohio,OH,16885,1704916,1483217,637036,637036
Columbus,Ohio,OH,19234,1578153,1306367,571062,571062
Oklahoma City,Oklahoma,OK,65080,1000207,827094,374896,374896
Tusla,Oklahoma,OK,88948,740620,626717,268268,268268
Portland,Oregon,OR,71317,2084045,1764478,682917,682917
Eugene,Oregon,OR,28117,272737,219099,86745,86745
Pittsburgh,Pennsylvania,PA,69697,1712828,1499862,584550,584550
Philadelphia,Pennsylvania,PA,69076,5696588,5025246,1791181,1791181
Providence,Rhode Island,RI,72505,1270529,1113285,468642,468642
Charleston,South Carolina,SC,15508,726389,595986,268740,268740
Columbia,South Carolina,SC,18964,605083,501408,222942,222942
Sioux Falls,South Dakota,SD,82252,207795,180920,89917,89917
Chattanooga,Tennessee,TN,15832,410795,343914,151959,151959
Memphis,Tennessee,TN,56116,1033394,890077,378680,378680
Knoxville,Tennessee,TN,45640,618226,532120,234758,234758
Nashville,Tennessee,TN,61273,1178679,986747,450255,450255
Austin,Texas,TX,04384,1915031,1574570,672950,672950
Dallas,Texas,TX,22042,5843632,4960520,2113814,2113814
Houston,Texas,TX,40429,6046392,5137101,2108223,2108223
San Antonio,Texas,TX,78580,2069843,1696728,701976,701976
Provo,Utah,UT,72559,639820,515145,203753,203753
Salt Lake City,Utah,UT,78499,1169033,980758,413331,413331
Richmond,Virginia,VA,74746,1081248,908718,401284,401284
Virginia Beach,Virginia,VA,90892,1431821,1204716,540901,540901
Burlington,Vermont,VT,11755,118409,95437,39063,39063
Seattle,Washington,WA,80389,3555253,2960643,1133779,1133779
Spokane,Washington,WA,83764,458988,386753,154895,154895
Madison,Wisconsin,WI,53200,460255,360680,166930,166930
Milwaukee,Wisconsin,WI,57466,1290221,1129593,462353,462353
Charleston,West Virginia ,WV,15481,133045,121105,44132,44132
Cheyenne,Wyoming,WY,16237,81378,69092,32748,32748
