Latitude,Longitude,total_parks
61.2163129,-149.894852,120
34.729847,-86.5859011,28
33.5206824,-86.8024326,62
34.7465071,-92.2896267,40
33.4484367,-112.074141,93
32.2228765,-110.974847,74
38.5810606,-121.493895,216
32.7174202,-117.162772,363
37.7792588,-122.4193286,689
37.3361663,-121.890591,318
34.0536909,-118.242766,384
40.0149856,-105.270545,80
38.8339578,-104.825348,58
39.7392364,-104.984862,264
40.5871782,-105.0770113,41
41.3082138,-72.9250518,44
41.764582,-72.6908547,78
38.8950368,-77.0365427,505
39.158168,-75.5243682,284
29.6519684,-82.3249846,63
30.3321838,-81.655651,117
25.7741728,-80.19362,303
28.5421109,-81.3790304,212
30.4380832,-84.2809332,83
27.9477595,-82.458444,180
26.715364,-80.0532942,114
33.9597677,-83.376398,21
33.7489924,-84.3902644,209
32.4610708,-84.9880449,49
32.0790074,-81.0921335,61
21.304547,-157.855676,332
41.5868654,-93.6249494,48
43.6166163,-116.200886,71
41.8755616,-87.6244212,332
39.7683331,-86.1583502,217
41.6833813,-86.2500066,50
38.9719137,-95.2359403,28
37.6922361,-97.3375448,30
38.2542376,-85.759407,165
30.2262187,-92.0178202,25
29.9759983,-90.0782127,148
42.3554334,-71.060511,421
39.2908816,-76.610759,99
43.6573605,-70.2586618,82
42.2813722,-83.7484616,73
42.9632425,-85.6678639,88
42.7338254,-84.5546295,24
42.3315509,-83.0466403,103
44.9772995,-93.2654692,162
44.0234387,-92.4630182,25
39.100105,-94.5781416,97
38.6280278,-90.1910154,110
32.2998686,-90.1830408,28
45.6794293,-111.044047,18
35.2272086,-80.8430827,149
35.996653,-78.9018053,49
35.0525759,-78.878292,15
36.0726355,-79.7919754,32
35.7803977,-78.6390989,101
46.877229,-96.789821,16
40.8088861,-96.7077751,42
41.2587459,-95.9383758,71
42.9956397,-71.4547891,17
39.3642852,-74.4229351,12
35.0841034,-106.650985,142
39.5261206,-119.8126581,144
36.1672559,-115.148516,105
42.8867166,-78.8783922,97
40.7127281,-74.0060152,988
39.1014537,-84.5124602,133
39.9622601,-83.0007065,161
35.4729886,-97.5170536,67
36.391142,-95.044788,194
45.5202471,-122.674194,245
44.0505054,-123.0950506,73
40.4416941,-79.9900861,142
39.9527237,-75.1635262,266
41.8239891,-71.4128343,141
32.7884363,-79.9399309,164
34.0003117,-81.0331309,49
43.5476008,-96.7293629,15
35.0457219,-85.3094883,52
35.1460249,-90.0517638,52
35.9603948,-83.9210261,58
36.1622767,-86.7742984,132
30.2711286,-97.7436995,238
32.7762719,-96.7968559,144
29.7589382,-95.3676974,210
29.4246002,-98.4951405,168
40.2337289,-111.6587085,72
40.7596198,-111.886797,129
37.5385087,-77.43428,78
36.8496579,-75.9760751,58
44.4761601,-73.212906,24
47.6038321,-122.330062,498
47.6571934,-117.42351,49
43.074761,-89.3837613,313
43.0386475,-87.9090751,113
38.3505995,-81.6332812,16
41.139981,-104.820246,16
