City,State,StateCode,City_State,Latitude,Longitude,car_percent,medianRent,white_percent,nonwhite_percent,foreign_born_percent,NR_percent,construction_percent,manufacturing_percent,sales_percent,transpo_percent,info_percent,finance_percent,sci_percent,edu_percent,arts_percent,other_percent,PA_percent,republican,democrat,bars_pp,restaurants,parks_pp,activities_pp,nightlife_pp,nightlife,activities,museums_pp,max_avg_high,max_avg_low,mean_diff,international_airport,transit,amtrak,crime_rate,pop_density
Birmingham,Alabama,AL,"Birmingham, Alabama",33.5206824,-86.8024326,0.767944,1208,0.514,0.486,0.056,0.004,0.059,0.084,0.135,0.072,0.017,0.083,0.108,0.255,0.088,0.053,0.041,7,0,0.0003,0.0012,0.0001,0.0008,0.0003,0.0007,0.0009,0.0000,98.6,13.4,85.2,1,2,1,59.78,1365.37
Huntsville,Alabama,AL,"Huntsville, Alabama",34.729847,-86.5859011,0.757183,1291,0.604,0.396,0.053,0.002,0.05,0.15,0.1,0.025,0.012,0.041,0.224,0.182,0.077,0.052,0.083,7,0,0.0003,0.0017,0.0001,0.0010,0.0004,0.0007,0.0011,0.0001,99.2,11.7,87.5,1,2,1,18,1006
Anchorage,Alaska,AK,"Anchorage, Alaska",61.2163129,-149.894852,0.714008,1473,0.531,0.469,0.118,0.03,0.055,0.026,0.128,0.093,0.024,0.029,0.113,0.273,0.087,0.041,0.101,6,1,0.0004,0.0028,0.0005,0.0031,0.0005,0.0009,0.0032,0.0002,77.7,-13.2,90.9,1,1,0,38.97,170.6
Phoenix,Arizona,AZ,"Phoenix, Arizona",33.4484367,-112.074141,0.65245,1754,0.602,0.398,0.143,0.005,0.078,0.08,0.133,0.054,0.02,0.106,0.141,0.211,0.089,0.046,0.037,3,3,0.0001,0.0005,0.0000,0.0005,0.0001,0.0002,0.0005,0.0000,115.7,33.8,81.9,1,2,1,37.3,3102.92
Tucson,Arizona,AZ,"Tucson, Arizona",32.2228765,-110.974847,0.700604,1255,0.566,0.434,0.133,0.01,0.067,0.076,0.129,0.056,0.013,0.051,0.129,0.261,0.109,0.05,0.05,3,3,0.0003,0.0016,0.0001,0.0013,0.0003,0.0006,0.0013,0.0001,110.7,25.6,85.1,1,2,1,41.56,2251.44
Little Rock,Arkansas,AR,"Little Rock, Arkansas",34.7465071,-92.2896267,0.749943,1063,0.549,0.451,0.063,0.004,0.064,0.068,0.145,0.057,0.013,0.088,0.102,0.268,0.074,0.049,0.067,7,0,0.0003,0.0017,0.0001,0.0008,0.0003,0.0006,0.0009,0.0001,102.4,13.6,88.8,1,2,1,72.08,1687.6
Los Angeles,California,CA,"Los Angeles, California",34.0536909,-118.242766,0.673552,1968,0.308,0.692,0.337,0.005,0.063,0.089,0.124,0.066,0.038,0.057,0.141,0.219,0.11,0.052,0.034,0,7,0.0001,0.0007,0.0000,0.0006,0.0001,0.0002,0.0007,0.0000,101.5,39.2,62.3,1,2,1,35.91,8205
Sacramento,California,CA,"Sacramento, California",38.5810606,-121.493895,0.666371,1809,0.475,0.525,0.212,0.009,0.068,0.05,0.12,0.07,0.015,0.063,0.128,0.239,0.084,0.046,0.108,0,7,0.0002,0.0010,0.0001,0.0011,0.0002,0.0004,0.0012,0.0001,107,26.9,80.1,1,2,1,43.63,5374.11
San Diego,California,CA,"San Diego, California",32.7174202,-117.162772,0.679188,2306,0.46,0.54,0.238,0.008,0.06,0.101,0.11,0.046,0.018,0.058,0.166,0.234,0.102,0.047,0.05,0,7,0.0003,0.0012,0.0001,0.0017,0.0003,0.0006,0.0017,0.0001,94,42.6,51.4,1,2,1,23.33,4255.96
San Francisco,California,CA,"San Francisco, California",37.7792588,-122.4193286,0.492033,2367,0.34,0.66,0.35,0.004,0.052,0.082,0.097,0.055,0.043,0.062,0.226,0.214,0.08,0.046,0.038,0,7,0.0004,0.0015,0.0002,0.0023,0.0004,0.0008,0.0025,0.0001,94,38.8,55.2,1,2,1,66.64,18634.65
San Jose,California,CA,"San Jose, California",37.3361663,-121.890591,0.655533,2800,0.292,0.708,0.432,0.002,0.043,0.167,0.083,0.033,0.068,0.04,0.234,0.196,0.071,0.037,0.026,0,7,0.0002,0.0018,0.0002,0.0020,0.0003,0.0005,0.0020,0.0001,99.8,30.7,69.1,1,2,1,31.82,5684.69
Boulder,Colorado,CO,"Boulder, Colorado",40.0149856,-105.270545,0.481742,1908,0.8,0.2,0.102,0.013,0.022,0.08,0.123,0.022,0.029,0.04,0.219,0.262,0.113,0.047,0.031,0,7,0.0008,0.0037,0.0007,0.0079,0.0008,0.0017,0.0081,0.0002,98.5,-7.5,106,0,0,0,37.62,4112
Colorado Springs,Colorado,CO,"Colorado Springs, Colorado",38.8339578,-104.825348,0.690481,1688,0.698,0.302,0.072,0.007,0.067,0.055,0.12,0.044,0.027,0.08,0.154,0.236,0.093,0.055,0.062,0,7,0.0004,0.0016,0.0001,0.0015,0.0004,0.0009,0.0016,0.0001,96.7,-7.1,103.8,0,0,0,40.74,2400
Denver,Colorado,CO,"Denver, Colorado",39.7392364,-104.984862,0.642175,1894,0.637,0.363,0.131,0.01,0.075,0.064,0.119,0.055,0.032,0.078,0.178,0.205,0.095,0.048,0.042,0,7,0.0004,0.0011,0.0001,0.0012,0.0004,0.0007,0.0012,0.0001,100.6,-11,111.6,1,2,1,74.14,4674
Fort Collins,Colorado,CO,"Fort Collins, Colorado",40.5871782,-105.0770113,0.668424,1693,0.82,0.18,0.047,0.017,0.065,0.092,0.103,0.038,0.019,0.054,0.147,0.267,0.113,0.043,0.043,0,7,0.0004,0.0015,0.0001,0.0017,0.0003,0.0007,0.0018,0.0000,98.2,-7.7,105.9,0,1,1,32.02,2968
Hartford,Connecticut,CT,"Hartford, Connecticut",41.764582,-72.6908547,0.71461,1377,0.619,0.381,0.167,0.006,0.049,0.105,0.115,0.06,0.017,0.095,0.12,0.27,0.078,0.039,0.047,0,7,0.0002,0.0010,0.0001,0.0009,0.0002,0.0004,0.0009,0.0001,97.7,-3.4,101.1,1,2,1,30.36,6965.1
New Haven,Connecticut,CT,"New Haven, Connecticut",41.3082138,-72.9250518,0.710961,1457,0.612,0.388,0.138,0.002,0.056,0.101,0.103,0.05,0.019,0.056,0.108,0.363,0.075,0.04,0.027,0,7,0.0003,0.0019,0.0001,0.0013,0.0004,0.0007,0.0014,0.0000,92.1,6.2,85.9,0,1,1,37.17,7170
Dover,Delaware,DE,"Dover, Delaware",39.158168,-75.5243682,0.757559,1390,0.453,0.547,0.104,0.001,0.056,0.076,0.144,0.065,0.006,0.06,0.079,0.262,0.101,0.031,0.121,0,7,0.0002,0.0020,0.0022,0.0013,0.0002,0.0005,0.0029,0.0015,96.1,8.8,87.3,0,1,1,55.53,1664.82
Washington,District of Columbia,DC,"Washington, District of Columbia",38.8950368,-77.0365427,0.533772,1973,0.39,0.61,0.275,0.001,0.062,0.03,0.077,0.043,0.024,0.064,0.233,0.194,0.08,0.064,0.128,0,7,0.0002,0.0010,0.0001,0.0008,0.0003,0.0005,0.0009,0.0001,99.1,12.3,86.8,1,2,1,42.29,11280.71
