City             ,State                ,StateCode ,CensusCode ,Population ,sameHouse1yr ,transportCar ,publicTransport ,medianIncome ,employment ,rent    ,own     ,housingTenure ,medianValue ,medianRent ,white   ,black   ,asian   ,twoPlusRaces ,hispanic ,foreignBorn ,commuteless10 ,commute10to29 ,commute30to59 ,commute60plus ,counttraveltime ,youngAdults ,industryTotal ,naturalReasources ,construction ,manufacturing ,wholesale ,retail ,transportation ,information ,finance ,scientific ,education ,arts   ,other  ,publicAdmin ,housingTypeTotal ,units1  ,units2 ,units3or4 ,units5or9 ,units10plus ,otherType
Anchorage        ,Alaska               ,AK        ,     02305 ,    245624 ,      197589 ,       94067 ,          94067 ,       90793 ,    140198 ,  37984 ,  56899 ,        94883 ,     373200 ,      1473 , 130397 ,  13071 ,  26005 ,       38395 ,   25756 ,      28937 ,        19823 ,        84951 ,        11257 ,         3527 ,         119558 ,      24265 ,       126358 ,             3789 ,        6922 ,         3341 ,     2070 , 14124 ,         11776 ,       3024 ,   3709 ,     14216 ,    34501 , 10952 ,  5221 ,      12713 ,          104647 ,  57877 ,  6304 ,    10931 ,     7122 ,      17917 ,     4496
Huntsville       ,Alabama              ,AL        ,     40780 ,    359389 ,      301448 ,      139891 ,         139891 ,       86901 ,    194391 ,  51035 ,  96625 ,       147660 ,     326700 ,      1291 , 216895 ,  92897 ,  10440 ,       27089 ,   25649 ,      19226 ,        16968 ,       103726 ,        33353 ,         2943 ,         156990 ,      38406 ,       187818 ,              422 ,        9436 ,        28176 ,     2449 , 16388 ,          4734 ,       2248 ,   7704 ,     42120 ,    34210 , 14514 ,  9791 ,      15626 ,          158482 , 112918 ,  2072 ,     7763 ,    11384 ,      22217 ,     2128
Birmingham       ,Alabama              ,AL        ,     07786 ,    778756 ,      669858 ,      285726 ,         285726 ,       69947 ,    390541 , 110597 , 207244 ,       317841 ,     278700 ,      1208 , 400215 , 298319 ,  17417 ,       43215 ,   46456 ,      43670 ,        26348 ,       186453 ,        98851 ,        17586 ,         329238 ,      70356 ,       376704 ,             1656 ,       22118 ,        31739 ,     9531 , 41383 ,         27141 ,       6491 ,  31233 ,     40708 ,    96108 , 33318 , 19937 ,      15341 ,          357945 , 260860 ,  5055 ,     9964 ,    21816 ,      52510 ,     7740
Little Rock      ,Arkansas             ,AR        ,     50392 ,    467846 ,      409973 ,      165697 ,         165697 ,       62478 ,    230250 ,  78957 , 116348 ,       195305 ,     216200 ,      1063 , 256905 , 143785 ,  10477 ,       41796 ,   42884 ,      29593 ,        22448 ,       113992 ,        50669 ,         6874 ,         193983 ,      42507 ,       219387 ,              899 ,       14099 ,        14868 ,     3729 , 27992 ,         12528 ,       2908 ,  19220 ,     22442 ,    58877 , 16265 , 10848 ,      14712 ,          220197 , 144908 ,  5727 ,     7903 ,    12178 ,      38124 ,    11357
Phoenix          ,Arizona              ,AZ        ,     69184 ,   4065338 ,     3457480 ,     1332557 ,        1332557 ,       85268 ,   2154287 , 561892 ,1024981 ,      1586873 ,     467000 ,      1754 ,2445320 , 228098 , 200435 ,      746879 , 1179791 ,     580970 ,       161734 ,       863670 ,       519616 ,        96634 ,        1641654 ,     382220 ,      2071404 ,            10010 ,      160566 ,       166662 ,    41814 ,232870 ,        112709 ,      41710 , 219637 ,    291139 ,   436087 ,185389 , 95447 ,      77364 ,         1735003 ,1180732 , 19372 ,    72534 ,    72193 ,     303602 ,    86570
Tucson           ,Arizona              ,AZ        ,     88732 ,    879871 ,      728456 ,      296548 ,         296548 ,       66730 ,    451920 , 144403 , 236340 ,       380743 ,     334800 ,      1255 , 497855 ,  36757 ,  27207 ,      211342 ,  340952 ,     117112 ,        40563 ,       207886 ,       104827 ,        14309 ,         367585 ,     108902 ,       423396 ,             4069 ,       28477 ,        32116 ,     4670 , 49985 ,         23853 ,       5458 ,  21667 ,     54622 ,   110298 , 46005 , 21095 ,      21081 ,          411102 , 272141 ,  7607 ,    14964 ,    14402 ,      71003 ,    30985
Sacramento       ,California           ,CA        ,     77068 ,   1962998 ,     1730929 ,      615172 ,         615172 ,       94277 ,   1007631 , 271329 , 449806 ,       721135 ,     576600 ,      1809 , 932709 , 154783 , 332147 ,      299603 ,  446648 ,     415529 ,        70314 ,       392832 ,       229491 ,        55841 ,         748478 ,     160150 ,       943733 ,             8587 ,       64000 ,        47477 ,    18250 , 94781 ,         65880 ,      13750 ,  59375 ,    121173 ,   225663 , 79579 , 43353 ,     101865 ,          756826 , 551363 , 13059 ,    37253 ,    36420 ,     100943 ,    17788
San Diego        ,California           ,CA        ,     78661 ,   3057778 ,     2636413 ,     1069572 ,        1069572 ,      103341 ,   1681843 , 521642 , 588407 ,      1110049 ,     869500 ,      2306 ,1405462 , 147445 , 402486 ,      658787 , 1076919 ,     728409 ,       116586 ,       731378 ,       396615 ,        77839 ,        1322418 ,     293054 ,      1531838 ,            12238 ,       91627 ,       154940 ,    24907 ,143848 ,         69819 ,      28001 ,  88981 ,    254278 ,   358340 ,156614 , 72209 ,      76036 ,         1184964 , 693340 , 23412 ,    61376 ,    90950 ,     279066 ,    36820
San Francisco    ,California           ,CA        ,     78904 ,   3364862 ,     2922256 ,      869650 ,         869650 ,      123342 ,   1914929 , 659210 , 671758 ,      1330968 ,    1147200 ,      2367 ,1143147 , 239329 ,1045975 ,      423683 ,  802560 ,    1178420 ,        89785 ,       634714 ,       506915 ,       170642 ,        1402056 ,     259868 ,      1816092 ,             7938 ,       95089 ,       149344 ,    27008 ,148993 ,        100397 ,      78501 , 112118 ,    410699 ,   388034 ,145714 , 83275 ,      68982 ,         1446567 , 763582 , 71262 ,    99804 ,    95845 ,     402351 ,    13723
San Jose         ,California           ,CA        ,     79039 ,   1771563 ,     1499746 ,      610466 ,         610466 ,      156284 ,   1001194 , 296994 , 339517 ,       636511 ,    1509000 ,      2800 , 516837 ,  43765 , 760294 ,      221873 ,  405788 ,     766116 ,        50377 ,       437735 ,       239064 ,        51459 ,         778635 ,     161852 ,       958204 ,             2209 ,       41357 ,       159755 ,     8076 , 71589 ,         32020 ,      65099 ,  38407 ,    223845 ,   187732 , 67630 , 35622 ,      24863 ,          672941 , 402979 ,  9360 ,    36269 ,    34890 ,     172215 ,    17228
Los Angeles      ,California           ,CA        ,     51445 ,  11885717 ,    10680530 ,     3989403 ,        3989403 ,       90410 ,   6432320 ,2259466 ,1939347 ,      4198813 ,     861400 ,      1968 ,3661819 , 742498 ,2089119 ,     2312847 , 5563738 ,    4011195 ,       355947 ,      2286537 ,      1838516 ,       588436 ,        5069436 ,    1074349 ,      6070037 ,            31029 ,      382524 ,       542065 ,   162859 ,592653 ,        403559 ,     233511 , 344639 ,    854734 ,  1329824 ,666066 ,318025 ,     208549 ,         4459188 ,2414881 ,113499 ,   274038 ,   333178 ,    1240103 ,    83489
Boulder          ,Colorado             ,CO        ,     09298 ,    120121 ,       81865 ,       30290 ,          30290 ,       77348 ,     69375 ,  26490 ,  24508 ,        50998 ,     939600 ,      1908 ,  96143 ,   1966 ,   6336 ,       13760 ,   12715 ,      12287 ,         8899 ,        28144 ,         5391 ,         2148 ,          44582 ,      34231 ,        64736 ,              823 ,        1431 ,         5201 ,      635 ,  7329 ,          1428 ,       1845 ,   2578 ,     14151 ,    16959 ,  7315 ,  3021 ,       2020 ,           54527 ,  25688 ,  1057 ,     3705 ,     4741 ,      18183 ,     1153
Colorado Springs ,Colorado             ,CO        ,     18856 ,    638421 ,      507435 ,      232525 ,         232525 ,       85562 ,    358106 ,  95818 , 167188 ,       263006 ,     457600 ,      1688 , 445903 ,  41419 ,  19636 ,       85872 ,  127444 ,      46253 ,        32898 ,       166648 ,        62293 ,        16226 ,         278065 ,      63410 ,       314005 ,             2338 ,       20908 ,        17310 ,     3116 , 34451 ,         13908 ,       8625 ,  24964 ,     48317 ,    74245 , 29105 , 17293 ,      19425 ,          274915 , 198789 ,  3861 ,     9164 ,    13549 ,      43671 ,     5881
