City,State,StateCode,CensusCode,City_State,Latitude,Longitude,Population,sameHouse1yr,transport,car_percent,transportCar,public_transport_percent,publicTransport,walked_percent,walked,medianIncome,employment,rent_percent,rent,own_percent,own,housingTenure,medianValue,medianRent,white_percent,white,black_percent,black,asian_percent,asian,two_plus_percent,twoPlusRaces,hispanic_percent,hispanic,foreign_born_percent,foreignBorn,commute_10_percent,commuteless10,commute_10_29_percent,commute10to29,commute_30_59_percent,commute30to59,commute_60_percent,commute60plus,counttraveltime,ya_percent,youngAdults,industryTotal,NR_percent,naturalReasources,construction_percent,construction,manufacturing_percent,manufacturing,sales,sales_percent,wholesale,retail,transpo_percent,transportation,info_percent,information,finance_percent,finance,sci_percent,scientific,edu_percent,education,arts_percent,arts,other_percent,other,PA_percent,publicAdmin,housingTypeTotal,percent_1_unit,units1,percent_2_unit,units2,percent_3_4_unit,units3or4,percent_5_9_unit,units5or9,percent_10_unit,units10plus,percent_other_housing,otherType,republican,democrat,bars_pp,total_bars,restaurants_pp,total_restaurants,parks_pp,total_parks,activities_pp,total_activities,nightlife_pp,total_nightlife,museums_pp,total_museums,max_avg_high,max_avg_low,mean_diff,international_airport,amtrak,crime_rate
Birmingham,Alabama,AL,07786,"Birmingham, Alabama",33.5206824,-86.8024326,778756,669858,372066,0.767944,285726,0.003628,1350,0.032494,12090,69947,390541,0.347963,110597,0.652037,207244,317841,278700,1208,0.514,400215,0.383,298319,0.022,17417,0.055,43215,0.060,46456,0.056,43670,0.080,26348,0.566,186453,0.300,98851,0.053,17586,329238,0.090,70356,376704,0.004,1656,0.059,22118,0.084,31739,50914,0.135,9531,41383,0.072,27141,0.017,6491,0.083,31233,0.108,40708,0.255,96108,0.088,33318,0.053,19937,0.041,15341,357945,0.729,260860,0.014,5055,0.028,9964,0.061,21816,0.147,52510,0.022,7740,7,0,0.000320,249,0.001216,947,0.000080,62,0.000841,655,0.000343,267,0.000048,37,98.6,13.4,85.2,1,1,59.78
Huntsville,Alabama,AL,40780,"Huntsville, Alabama",34.729847,-86.5859011,359389,301448,184752,0.757183,139891,0.000341,63,0.024471,4521,86901,194391,0.345625,51035,0.654375,96625,147660,326700,1291,0.604,216895,0.258,92897,0.029,10440,0.075,27089,0.071,25649,0.053,19226,0.108,16968,0.661,103726,0.212,33353,0.019,2943,156990,0.107,38406,187818,0.002,422,0.050,9436,0.150,28176,18837,0.100,2449,16388,0.025,4734,0.012,2248,0.041,7704,0.224,42120,0.182,34210,0.077,14514,0.052,9791,0.083,15626,158482,0.712,112918,0.013,2072,0.049,7763,0.072,11384,0.140,22217,0.013,2128,7,0,0.000345,124,0.001739,625,0.000078,28,0.001049,377,0.000373,134,0.000067,24,99.2,11.7,87.5,1,1,18
Anchorage,Alaska,AK,02305,"Anchorage, Alaska",61.2163129,-149.894852,245624,197589,131745,0.714008,94067,0.013192,1738,0.068132,8976,90793,140198,0.400325,37984,0.599675,56899,94883,373200,1473,0.531,130397,0.053,13071,0.106,26005,0.156,38395,0.105,25756,0.118,28937,0.166,19823,0.711,84951,0.094,11257,0.030,3527,119558,0.099,24265,126358,0.030,3789,0.055,6922,0.026,3341,16194,0.128,2070,14124,0.093,11776,0.024,3024,0.029,3709,0.113,14216,0.273,34501,0.087,10952,0.041,5221,0.101,12713,104647,0.553,57877,0.060,6304,0.104,10931,0.068,7122,0.171,17917,0.043,4496,6,1,0.000440,108,0.002789,685,0.000489,120,0.003074,755,0.000464,114,0.000155,38,77.7,-13.2,90.9,1,0,38.97
Phoenix,Arizona,AZ,69184,"Phoenix, Arizona",33.4484367,-112.074141,4065338,3457480,2042388,0.652450,1332557,0.013863,28313,0.037463,76515,85268,2154287,0.354088,561892,0.645912,1024981,1586873,467000,1754,0.602,2445320,0.056,228098,0.049,200435,0.184,746879,0.290,1179791,0.143,580970,0.099,161734,0.526,863670,0.317,519616,0.059,96634,1641654,0.094,382220,2071404,0.005,10010,0.078,160566,0.080,166662,274684,0.133,41814,232870,0.054,112709,0.020,41710,0.106,219637,0.141,291139,0.211,436087,0.089,185389,0.046,95447,0.037,77364,1735003,0.681,1180732,0.011,19372,0.042,72534,0.042,72193,0.175,303602,0.050,86570,3,3,0.000107,435,0.000541,2200,0.000023,93,0.000467,1900,0.000118,479,0.000020,80,115.7,33.8,81.9,1,1,37.3
Tucson,Arizona,AZ,88732,"Tucson, Arizona",32.2228765,-110.974847,879871,728456,423275,0.700604,296548,0.022234,9411,0.037437,15846,66730,451920,0.379266,144403,0.620734,236340,380743,334800,1255,0.566,497855,0.042,36757,0.031,27207,0.240,211342,0.388,340952,0.133,117112,0.110,40563,0.566,207886,0.285,104827,0.039,14309,367585,0.124,108902,423396,0.010,4069,0.067,28477,0.076,32116,54655,0.129,4670,49985,0.056,23853,0.013,5458,0.051,21667,0.129,54622,0.261,110298,0.109,46005,0.050,21095,0.050,21081,411102,0.662,272141,0.019,7607,0.036,14964,0.035,14402,0.173,71003,0.075,30985,3,3,0.000278,245,0.001591,1400,0.000084,74,0.001250,1100,0.000295,260,0.000075,66,110.7,25.6,85.1,1,1,41.56
Little Rock,Arkansas,AR,50392,"Little Rock, Arkansas",34.7465071,-92.2896267,467846,409973,220946,0.749943,165697,0.013134,2902,0.023685,5233,62478,230250,0.404275,78957,0.595725,116348,195305,216200,1063,0.549,256905,0.307,143785,0.022,10477,0.089,41796,0.092,42884,0.063,29593,0.116,22448,0.588,113992,0.261,50669,0.035,6874,193983,0.091,42507,219387,0.004,899,0.064,14099,0.068,14868,31721,0.145,3729,27992,0.057,12528,0.013,2908,0.088,19220,0.102,22442,0.268,58877,0.074,16265,0.049,10848,0.067,14712,220197,0.658,144908,0.026,5727,0.036,7903,0.055,12178,0.173,38124,0.052,11357,7,0,0.000280,131,0.001676,784,0.000085,40,0.000849,397,0.000297,139,0.000081,38,102.4,13.6,88.8,1,1,72.08
Los Angeles,California,CA,51445,"Los Angeles, California",34.0536909,-118.242766,11885717,10680530,5922936,0.673552,3989403,0.034906,206748,0.048914,289713,90410,6432320,0.538120,2259466,0.461880,1939347,4198813,861400,1968,0.308,3661819,0.062,742498,0.176,2089119,0.195,2312847,0.468,5563738,0.337,4011195,0.070,355947,0.451,2286537,0.363,1838516,0.116,588436,5069436,0.090,1074349,6070037,0.005,31029,0.063,382524,0.089,542065,755512,0.124,162859,592653,0.066,403559,0.038,233511,0.057,344639,0.141,854734,0.219,1329824,0.110,666066,0.052,318025,0.034,208549,4459188,0.542,2414881,0.025,113499,0.061,274038,0.075,333178,0.278,1240103,0.019,83489,0,7,0.000093,1100,0.000715,8500,0.000032,384,0.000639,7600,0.000118,1400,0.000034,410,101.5,39.2,62.3,1,1,35.91
Sacramento,California,CA,77068,"Sacramento, California",38.5810606,-121.493895,1962998,1730929,923168,0.666371,615172,0.010275,9486,0.041551,38359,94277,1007631,0.376253,271329,0.623747,449806,721135,576600,1809,0.475,932709,0.079,154783,0.169,332147,0.153,299603,0.228,446648,0.212,415529,0.094,70314,0.525,392832,0.307,229491,0.075,55841,748478,0.082,160150,943733,0.009,8587,0.068,64000,0.050,47477,113031,0.120,18250,94781,0.070,65880,0.015,13750,0.063,59375,0.128,121173,0.239,225663,0.084,79579,0.046,43353,0.108,101865,756826,0.729,551363,0.017,13059,0.049,37253,0.048,36420,0.133,100943,0.024,17788,0,7,0.000195,383,0.000968,1900,0.000110,216,0.001121,2200,0.000217,425,0.000053,104,107,26.9,80.1,1,1,43.63
San Diego,California,CA,78661,"San Diego, California",32.7174202,-117.162772,3057778,2636413,1574781,0.679188,1069572,0.022088,34783,0.056586,89111,103341,1681843,0.469927,521642,0.530073,588407,1110049,869500,2306,0.460,1405462,0.048,147445,0.132,402486,0.215,658787,0.352,1076919,0.238,728409,0.088,116586,0.553,731378,0.300,396615,0.059,77839,1322418,0.096,293054,1531838,0.008,12238,0.060,91627,0.101,154940,168755,0.110,24907,143848,0.046,69819,0.018,28001,0.058,88981,0.166,254278,0.234,358340,0.102,156614,0.047,72209,0.050,76036,1184964,0.585,693340,0.020,23412,0.052,61376,0.077,90950,0.236,279066,0.031,36820,0,7,0.000310,947,0.001210,3700,0.000119,363,0.001668,5100,0.000327,1000,0.000075,228,94,42.6,51.4,1,1,23.33
San Francisco,California,CA,78904,"San Francisco, California",37.7792588,-122.4193286,3364862,2922256,1767463,0.492033,869650,0.117850,208295,0.091503,161728,123342,1914929,0.495286,659210,0.504714,671758,1330968,1147200,2367,0.340,1143147,0.071,239329,0.311,1045975,0.126,423683,0.239,802560,0.350,1178420,0.064,89785,0.453,634714,0.362,506915,0.122,170642,1402056,0.077,259868,1816092,0.004,7938,0.052,95089,0.082,149344,176001,0.097,27008,148993,0.055,100397,0.043,78501,0.062,112118,0.226,410699,0.214,388034,0.080,145714,0.046,83275,0.038,68982,1446567,0.528,763582,0.049,71262,0.069,99804,0.066,95845,0.278,402351,0.009,13723,0,7,0.000357,1200,0.001545,5200,0.000205,689,0.002348,7900,0.000446,1500,0.000134,452,94,38.8,55.2,1,1,66.64
